model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,5,Mammalia,Globicephala macrorhynchus,7,54.38836825119611,3.5165051819958424
eat_all,5,Mammalia,Delphinus delphis,8,54.44363005089904,3.618856061853036
eat_all,5,Mammalia,Balaenoptera physalus,8,50.66431881162976,4.1993259272352335
eat_all,5,Mammalia,Megaptera novaeangliae,8,57.96372115617387,3.1054477073665714
eat_all,5,Mammalia,Orcinus orca,18,56.73200225700592,3.251623267898639
eat_all,5,Mammalia,Lagenorhynchus acutus,6,51.452469030704364,3.89027043876867
eat_all,5,Mammalia,Stenella coeruleoalba,5,52.20206948907625,3.8682783407590504
eat_all,6,Aves,Parus major,6,50.271445908434686,3.2176711007979404
eat_all,6,Aves,Fringilla coelebs,14,50.29480812124853,3.209922376236107
eat_all,6,Aves,Erithacus rubecula,6,48.15567159998312,3.5235007288244056
eat_all,6,Aves,Turdus merula,10,50.24565255437795,3.205297382910777
eat_all,6,Aves,Anthus trivialis,5,48.88196388904319,3.383270604413963
eat_all,6,Mammalia,Globicephala macrorhynchus,7,46.23388317973437,3.7475758233473564
eat_all,6,Mammalia,Delphinus delphis,8,46.06024696856932,3.7556931924642654
eat_all,6,Mammalia,Balaenoptera physalus,8,39.37305374364691,4.616865139481737
eat_all,6,Mammalia,Megaptera novaeangliae,8,47.16210941116875,3.542650152617779
eat_all,6,Mammalia,Orcinus orca,18,47.956997966154304,3.4640390685312483
eat_all,6,Mammalia,Lagenorhynchus acutus,6,43.22613009655042,4.070877652537433
eat_all,6,Mammalia,Stenella coeruleoalba,5,43.2286822253082,4.059559666480866
eat_all,7,Aves,Parus major,6,67.5502133883868,4.018877233395953
eat_all,7,Aves,Fringilla coelebs,14,66.52154818639222,4.098544755118286
eat_all,7,Aves,Erithacus rubecula,6,62.67526735080681,4.4699125366327195
eat_all,7,Aves,Turdus merula,10,66.22524526997306,4.154573220337931
eat_all,7,Aves,Anthus trivialis,5,66.46430698471517,4.160454257065107
eat_all,7,Mammalia,Globicephala macrorhynchus,7,63.77074378027453,4.500888608064144
eat_all,7,Mammalia,Delphinus delphis,8,63.813724988127106,4.521579406897516
eat_all,7,Mammalia,Balaenoptera physalus,8,57.38098915818548,5.330287903568635
eat_all,7,Mammalia,Megaptera novaeangliae,8,65.76554685366666,4.333486785002743
eat_all,7,Mammalia,Orcinus orca,18,66.67340796426618,4.219708555870958
eat_all,7,Mammalia,Lagenorhynchus acutus,6,59.60526956956871,4.898997128439901
eat_all,7,Mammalia,Stenella coeruleoalba,5,60.0180839047551,4.9190758351057084
eat_all,8,Aves,Parus major,6,60.43094570431057,4.031235369719324
eat_all,8,Aves,Fringilla coelebs,14,59.63580668552014,4.042610316306944
