model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,9,Physeter catodon,8,36.92755632697009,4.047641462302419,0.8334215017350607,Mammalia
eat_all,9,Orcinus orca,28,41.184638997115805,3.5335060564912406,0.8844118471725035,Mammalia
eat_all,9,Erignathus barbatus,7,38.59609963843774,3.972945669373775,0.8429698425490764,Mammalia
eat_all,9,Lagenorhynchus acutus,7,38.25829417488291,3.84826936042287,0.9009689434914512,Mammalia
eat_all,9,Strix uralensis,5,35.154538313246725,4.023658579784384,0.8551668312297651,Aves
eat_all,9,Strix varia,6,40.352852274346006,3.4756595159433177,0.9399858561466244,Aves
eat_all,9,Calidris alpina,5,41.24004130286443,3.4536611142362856,0.9450413594398157,Aves
eat_all,9,Colaptes auratus,6,41.0318463074728,3.4513124297007662,0.9245045481945057,Aves
eat_all,9,Dryobates pubescens,5,41.243528402725154,3.4100166276665065,0.9518973991782963,Aves
eat_all,9,Canis latrans,6,39.533967723429356,3.6284396795515876,0.9174683865885759,Mammalia
eat_all,9,Dendrocopos major,11,41.27159966204093,3.437380439862648,0.9356457112856884,Aves
eat_all,9,Stenella coeruleoalba,5,38.10446022815553,4.021860112589173,0.8651449147288671,Mammalia
eat_all,9,Stenella attenuata,6,39.73129122424361,3.7918016199973357,0.8886137718019204,Mammalia
eat_all,9,Tyto alba,5,39.91819215172356,3.582603489898668,0.9451923163004304,Aves
eat_all,9,Megaptera novaeangliae,10,40.90181352662896,3.6381557235438566,0.8873128702805181,Mammalia
eat_all,9,Picus viridis,5,40.762028627415454,3.5037354076271137,0.943096370989827,Aves
eat_all,9,Athene noctua,7,41.47112336259562,3.418479762599593,0.9150220047382401,Aves
eat_all,9,Bubo virginianus,5,39.49271570747861,3.614893743598926,0.9294567688376852,Aves
eat_all,9,Sciurus carolinensis,7,40.28600850077457,3.5255753073673333,0.9328779001697839,Mammalia
eat_all,9,Pseudorca crassidens,8,39.34969383543503,3.8283111691443437,0.8499529234862903,Mammalia
eat_all,9,Globicephala macrorhynchus,9,39.45213862764337,3.7333301956379117,0.8861451219202644,Mammalia
eat_all,9,Globicephala melaena,8,35.99881094435694,4.121278267091751,0.8529241408548905,Mammalia
eat_all,9,Sterna paradisaea,5,42.38514391386259,3.3655843809537065,0.9213207586458501,Aves
eat_all,9,Strix aluco,7,39.96365383866312,3.5437944987571965,0.9288882165943865,Aves
eat_all,9,Balaenoptera physalus,12,36.55341743135613,4.296271808450483,0.6600883183568407,Mammalia
