model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
random_init_eat_seed42,0,Megaptera novaeangliae,8,710.7482469550768,7.56362591784214,0.35243093534310854,Mammalia
random_init_eat_seed42,0,Anthus trivialis,5,586.1904084785625,13.48258864037688,0.9061028466433,Aves
random_init_eat_seed42,0,Globicephala macrorhynchus,7,707.5715872736553,7.769302763603394,0.18489511195739658,Mammalia
random_init_eat_seed42,0,Orcinus orca,18,513.0905082748935,15.963948318340236,0.8734372218622755,Mammalia
random_init_eat_seed42,0,Fringilla coelebs,14,679.8469851519362,9.386504623624269,0.9934650462619036,Aves
random_init_eat_seed42,0,Turdus merula,10,637.9064250711402,11.403956995722682,0.9605238936301513,Aves
random_init_eat_seed42,1,Lagenorhynchus acutus,6,637.6434540074932,11.417338811706864,0.8606690920882771,Mammalia
random_init_eat_seed42,1,Delphinus delphis,8,647.0727150075406,10.996653676924785,0.45458876454425917,Mammalia
random_init_eat_seed42,1,Balaenoptera physalus,8,296.33192200361293,21.71788970951373,0.7881493185198725,Mammalia
random_init_eat_seed42,1,Erithacus rubecula,6,637.9360772118958,11.404526330078163,0.8560640879507804,Aves
random_init_eat_seed42,1,Parus major,6,687.957488177504,8.946726660238086,0.885293050027998,Aves
random_init_eat_seed42,1,Stenella coeruleoalba,5,656.4528654594573,10.561630222626695,0.7295955222082653,Mammalia
random_init_eat_seed42,1,Megaptera novaeangliae,8,675.5479305477025,9.615098161056801,0.4942188790052735,Mammalia
random_init_eat_seed42,1,Anthus trivialis,5,578.165549444485,13.777948420954418,0.7531341592366307,Aves
random_init_eat_seed42,1,Globicephala macrorhynchus,7,654.1634202936408,10.66943407359541,0.3926955460451798,Mammalia
random_init_eat_seed42,1,Orcinus orca,18,501.5742538850625,16.32254175077511,0.9029369423881034,Mammalia
random_init_eat_seed42,1,Fringilla coelebs,14,683.1861971751432,9.209345003090021,0.9004980580875639,Aves
random_init_eat_seed42,1,Turdus merula,10,595.6664026366393,13.127548638538691,0.8110272648393542,Aves
random_init_eat_seed42,2,Lagenorhynchus acutus,6,590.9802657534666,13.304855326982606,0.8393646581355857,Mammalia
random_init_eat_seed42,2,Delphinus delphis,8,606.8357124194217,12.69501358326258,0.6214610227586009,Mammalia
random_init_eat_seed42,2,Balaenoptera physalus,8,319.0838780864469,21.187622107958422,0.7732529304352598,Mammalia
random_init_eat_seed42,2,Erithacus rubecula,6,625.6557177747103,11.930810817298005,0.7741691092728751,Aves
random_init_eat_seed42,2,Parus major,6,688.7807642331779,8.900533248700011,0.8041041860433875,Aves
random_init_eat_seed42,2,Stenella coeruleoalba,5,604.3580638987547,12.79225605080463,0.7026638563823697,Mammalia
random_init_eat_seed42,2,Megaptera novaeangliae,8,633.5212706906208,11.596534824726595,0.5515335359506274,Mammalia
random_init_eat_seed42,2,Anthus trivialis,5,579.6938043139243,13.722520410211715,0.6463184158881533,Aves
random_init_eat_seed42,2,Globicephala macrorhynchus,7,600.2248845476412,12.952753093305578,0.5260812469658921,Mammalia
random_init_eat_seed42,2,Orcinus orca,18,475.90540153953543,17.09073566139543,0.8954281328750416,Mammalia
random_init_eat_seed42,2,Fringilla coelebs,14,660.8460773161321,10.351488269436027,0.8579896186069031,Aves
random_init_eat_seed42,2,Turdus merula,10,582.9576803715167,13.603027559870592,0.7042714794667099,Aves
random_init_eat_seed42,3,Lagenorhynchus acutus,6,554.6557533019379,14.606227092267918,0.8206448596596683,Mammalia
random_init_eat_seed42,3,Delphinus delphis,8,569.7870194895675,14.078822189190165,0.6395422728895468,Mammalia
random_init_eat_seed42,3,Balaenoptera physalus,8,308.7333600453676,21.430526368747316,0.7898304205607527,Mammalia
random_init_eat_seed42,3,Erithacus rubecula,6,625.9885205740726,11.916855423488165,0.7223089132871378,Aves
random_init_eat_seed42,3,Parus major,6,673.9311128475916,9.698927230969884,0.7613276294049733,Aves
random_init_eat_seed42,3,Stenella coeruleoalba,5,562.7419225998224,14.326738306203165,0.7072041117432799,Mammalia
random_init_eat_seed42,3,Megaptera novaeangliae,8,607.2483546695622,12.678788827207624,0.6373507941734996,Mammalia
random_init_eat_seed42,3,Anthus trivialis,5,498.05388112173165,16.429981001904945,0.5829071671588295,Aves
random_init_eat_seed42,3,Globicephala macrorhynchus,7,561.1375157532733,14.382628225614525,0.5717177050944297,Mammalia
random_init_eat_seed42,3,Orcinus orca,18,443.6849633364427,18.008742500015234,0.8989045413331114,Mammalia
random_init_eat_seed42,3,Fringilla coelebs,14,661.2616525044436,10.331358002134012,0.8119643898845733,Aves
random_init_eat_seed42,3,Turdus merula,10,581.6539304868107,13.65081545608918,0.6378705945570666,Aves
random_init_eat_seed42,4,Lagenorhynchus acutus,6,513.3957076500482,15.956377180324555,0.8401917965926886,Mammalia
random_init_eat_seed42,4,Delphinus delphis,8,529.4156391464198,15.44615136683219,0.6928226617895794,Mammalia
random_init_eat_seed42,4,Balaenoptera physalus,8,301.9250829162309,21.58876172106417,0.7744958447149362,Mammalia
random_init_eat_seed42,4,Erithacus rubecula,6,610.9237355577084,12.532971331009477,0.6882258005083545,Aves
