source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
iNaturalist,5,model.blocks.4,0.6959582880139351,0.08494691208061293,0.7256933748722076,0.30404171168804167,0.08494691115592103,0.27430662512779236,2.5923594295978547,0.6170445239309204,2.435904383659363,3.203947727680206,0.6399188128856929,3.0530368089675903,3.3525456047058104,0.34774245503532,3.3038398027420044,0.14859787702560426,0.5005801731936047,0.30594658851623535
iNaturalist,6,model.blocks.5,0.6083828723430633,0.07682822511535138,0.6249500215053558,0.3916171276569366,0.07682822497310317,0.37504997849464417,3.055006124973297,0.5567918441466846,2.9472343921661377,3.3060210156440735,0.5669806320584326,3.213069796562195,3.5274389791488647,0.33773923976454556,3.490699529647827,0.22141796350479126,0.45135522497398795,0.37446868419647217
iNaturalist,7,model.blocks.6,0.5452288812398911,0.07236961682024207,0.5700518786907196,0.45477111876010895,0.07236961761118056,0.4299481213092804,4.241436855792999,0.6232627969533681,4.2061357498168945,4.017088387012482,0.49580155444655977,3.9607534408569336,4.733905498981476,0.4602901500689282,4.679017782211304,0.7168171119689941,0.46187657236595286,0.766787052154541
iNaturalist,8,model.blocks.7,0.524137304276228,0.08146778020793814,0.5454906523227692,0.4758626961708069,0.08146778169631634,0.45450934767723083,4.2991396737098695,0.6114859296254594,4.152153730392456,3.5789062213897704,0.4725942199451112,3.4922776222229004,4.878275513648987,0.46741189743040484,4.851417303085327,1.2993692922592164,0.4823432516958696,1.3278635740280151
iNaturalist,9,model.blocks.8,0.4227329380810261,0.07110232275315544,0.4392932504415512,0.5772670620679855,0.07110232513692633,0.56070676445961,4.246741318702698,0.46801043962850025,4.2272233963012695,2.4785061621665956,0.3903851422533148,2.3549848794937134,4.621376340389252,0.38712197696985434,4.560517311096191,2.142870180606842,0.4485002724704829,2.165836215019226
iNaturalist,10,model.blocks.9,0.3847018599510193,0.08114016654956718,0.3917434513568878,0.6152981424331665,0.08114016679873619,0.6082565784454346,3.449546911716461,0.33231639104886335,3.450952649116516,1.8479450929164887,0.28091531930576397,1.7849513292312622,3.689026734828949,0.2949514584828807,3.6872905492782593,1.8410816419124603,0.36218871725259266,1.889895737171173
iNaturalist,11,model.blocks.10,0.3868967080116272,0.06063367916776704,0.39234045147895813,0.6131032884120942,0.06063367936917449,0.6076595187187195,3.5542309975624082,0.21103870283183027,3.546437382698059,1.7859982800483705,0.2131705988553094,1.787355124950409,3.8422411775588987,0.2556306406597017,3.8850396871566772,2.0562428975105287,0.2581783604633532,2.045928716659546
iNaturalist,12,model.blocks.11,-0.045356121145305225,0.11107187107112657,-0.07162230834364891,1.0453561198711396,0.11107187011408734,1.0716223120689392,13.674827404022217,1.0342006762082605,13.682522296905518,4.291199131011963,0.5062155740357298,4.231122970581055,12.800844879150391,0.9753121519901277,12.709997653961182,8.509645776748657,0.9990271178107812,8.44949197769165
Animal Sound Archive,0,model.pos_drop,0.7300304555892945,0.0879544006231964,0.7373044192790985,0.2699695444107056,0.08795440062319641,0.2626955807209015,0.21010180965065955,0.0524671904167994,0.19055289030075073,0.2966391982138157,0.08824921861031373,0.2733212113380432,0.17149670898914338,0.04316267550463232,0.1625118851661682,-0.12514248967170716,0.07839550036458426,-0.10033593326807022
Animal Sound Archive,1,model.blocks.0,0.7651570570468903,0.028230849696750673,0.7632688581943512,0.23484294295310973,0.028230849696750684,0.2367311418056488,1.1044857567548751,0.1108033552902506,1.0703375935554504,1.6775310122966767,0.27254192074305056,1.6175352931022644,1.5235549461841584,0.17462564485390294,1.4743291735649109,-0.15397606611251832,0.14605873445270906,-0.12095165252685547
