model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_bio,5,Watkins,iNaturalist,True,True,True,0.6864312770819541,10
eat_bio,5,WavCaps,Xeno-canto,False,True,False,0.8419741492418652,10
eat_bio,5,WavCaps,iNaturalist,False,True,False,0.8924135247266956,10
eat_bio,5,Xeno-canto,iNaturalist,True,True,True,0.8820431807272133,10
eat_bio,6,Animal Sound Archive,NatureLM,True,False,False,0.6484283299225236,10
eat_bio,6,Animal Sound Archive,Watkins,True,True,True,0.5948699142414655,10
eat_bio,6,Animal Sound Archive,WavCaps,True,False,False,0.7512618303380971,10
eat_bio,6,Animal Sound Archive,Xeno-canto,True,True,True,0.7944242822883202,10
eat_bio,6,Animal Sound Archive,iNaturalist,True,True,True,0.7626311247552156,10
eat_bio,6,NatureLM,Watkins,False,True,False,0.6318683350484298,10
eat_bio,6,NatureLM,WavCaps,False,False,True,0.7466824961364209,10
eat_bio,6,NatureLM,Xeno-canto,False,True,False,0.6095747236933755,10
eat_bio,6,NatureLM,iNaturalist,False,True,False,0.6569917582328353,10
eat_bio,6,Watkins,WavCaps,True,False,False,0.6640505307941943,10
eat_bio,6,Watkins,Xeno-canto,True,True,True,0.5854223949409723,10
eat_bio,6,Watkins,iNaturalist,True,True,True,0.6026928702257633,10
eat_bio,6,WavCaps,Xeno-canto,False,True,False,0.6972663624206927,10
eat_bio,6,WavCaps,iNaturalist,False,True,False,0.7320988694866795,10
eat_bio,6,Xeno-canto,iNaturalist,True,True,True,0.805955784724312,10
eat_bio,7,Animal Sound Archive,NatureLM,True,False,False,0.6339086188031324,10
eat_bio,7,Animal Sound Archive,Watkins,True,True,True,0.5509467697778333,10
eat_bio,7,Animal Sound Archive,WavCaps,True,False,False,0.729867754820778,10
eat_bio,7,Animal Sound Archive,Xeno-canto,True,True,True,0.7691560740774033,10
eat_bio,7,Animal Sound Archive,iNaturalist,True,True,True,0.777238146824457,10
eat_bio,7,NatureLM,Watkins,False,True,False,0.6154883143867113,10
eat_bio,7,NatureLM,WavCaps,False,False,True,0.7495890644563329,10
eat_bio,7,NatureLM,Xeno-canto,False,True,False,0.6196514295482582,10
eat_bio,7,NatureLM,iNaturalist,False,True,False,0.6602076217466053,10
eat_bio,7,Watkins,WavCaps,True,False,False,0.662990732622356,10
eat_bio,7,Watkins,Xeno-canto,True,True,True,0.547439335823689,10
eat_bio,7,Watkins,iNaturalist,True,True,True,0.5559783752330122,10
eat_bio,7,WavCaps,Xeno-canto,False,True,False,0.6970554767435404,10
eat_bio,7,WavCaps,iNaturalist,False,True,False,0.7131987149865633,10
eat_bio,7,Xeno-canto,iNaturalist,True,True,True,0.8763189598949743,10
eat_bio,8,Animal Sound Archive,NatureLM,True,False,False,0.6828681897620126,10
eat_bio,8,Animal Sound Archive,Watkins,True,True,True,0.5846596261033391,10
eat_bio,8,Animal Sound Archive,WavCaps,True,False,False,0.7407632474142737,10
eat_bio,8,Animal Sound Archive,Xeno-canto,True,True,True,0.7910540528633222,10
eat_bio,8,Animal Sound Archive,iNaturalist,True,True,True,0.8215241895358452,10
eat_bio,8,NatureLM,Watkins,False,True,False,0.6618510001680219,10
eat_bio,8,NatureLM,WavCaps,False,False,True,0.7914312457530707,10
eat_bio,8,NatureLM,Xeno-canto,False,True,False,0.6739896887363137,10
eat_bio,8,NatureLM,iNaturalist,False,True,False,0.7136745695527464,10
eat_bio,8,Watkins,WavCaps,True,False,False,0.6747049154910443,10
eat_bio,8,Watkins,Xeno-canto,True,True,True,0.5778279017587905,10
eat_bio,8,Watkins,iNaturalist,True,True,True,0.5946243368688637,10
eat_bio,8,WavCaps,Xeno-canto,False,True,False,0.7312076022519062,10
eat_bio,8,WavCaps,iNaturalist,False,True,False,0.7339824649474849,10
eat_bio,8,Xeno-canto,iNaturalist,True,True,True,0.8928301946514916,10
eat_bio,9,Animal Sound Archive,NatureLM,True,False,False,0.6488629366033569,10
eat_bio,9,Animal Sound Archive,Watkins,True,True,True,0.5643658081517781,10
eat_bio,9,Animal Sound Archive,WavCaps,True,False,False,0.7838592177700511,10
eat_bio,9,Animal Sound Archive,Xeno-canto,True,True,True,0.8292252734236755,10
eat_bio,9,Animal Sound Archive,iNaturalist,True,True,True,0.8083538419810962,10
eat_bio,9,NatureLM,Watkins,False,True,False,0.6978769149104025,10
eat_bio,9,NatureLM,WavCaps,False,False,True,0.7901377454419529,10
eat_bio,9,NatureLM,Xeno-canto,False,True,False,0.634721792793346,10
eat_bio,9,NatureLM,iNaturalist,False,True,False,0.6738714453014605,10
eat_bio,9,Watkins,WavCaps,True,False,False,0.6881414055071631,10
eat_bio,9,Watkins,Xeno-canto,True,True,True,0.5757133587414096,10
eat_bio,9,Watkins,iNaturalist,True,True,True,0.5765984163400268,10
eat_bio,9,WavCaps,Xeno-canto,False,True,False,0.7849961144465329,10
eat_bio,9,WavCaps,iNaturalist,False,True,False,0.7809604563187215,10
eat_bio,9,Xeno-canto,iNaturalist,True,True,True,0.8367358438920455,10
eat_bio,10,Animal Sound Archive,NatureLM,True,False,False,0.670598687906579,10
eat_bio,10,Animal Sound Archive,Watkins,True,True,True,0.5476248232750562,10
eat_bio,10,Animal Sound Archive,WavCaps,True,False,False,0.7814868080514259,10
eat_bio,10,Animal Sound Archive,Xeno-canto,True,True,True,0.8377366827638492,10
eat_bio,10,Animal Sound Archive,iNaturalist,True,True,True,0.8327793002494074,10
eat_bio,10,NatureLM,Watkins,False,True,False,0.6941768467849944,10
eat_bio,10,NatureLM,WavCaps,False,False,True,0.7989536078628581,10
eat_bio,10,NatureLM,Xeno-canto,False,True,False,0.6589334187696791,10
eat_bio,10,NatureLM,iNaturalist,False,True,False,0.7181786419808599,10
eat_bio,10,Watkins,WavCaps,True,False,False,0.630000450475508,10
